item_id,title,imdb_rating,genre,metascore
1,Toy Story,8.3,"Animation, Adventure, Comedy",96
2,GoldenEye,7.2,"Action, Adventure, Thriller",65
3,Four Rooms,6.7,Comedy,N/A
4,Get Shorty,6.9,"Comedy, Crime, Thriller",81
5,Copycat,6.6,"Drama, Mystery, Thriller",54
7,Twelve Monkeys,7.6,Documentary,N/A
8,Babe,6.9,"Comedy, Drama, Family",83
9,Dead Man Walking,7.5,"Crime, Drama",80
10,Richard III,7.3,"Drama, Sci-Fi, War",86
13,Mighty Aphrodite,7.0,"Comedy, Fantasy, Romance",60
15,Mr. Holland's Opus,7.3,"Drama, Music",59
17,From Dusk Till Dawn,7.2,"Action, Crime, Horror",48
19,Antonia's Line,7.4,"Comedy, Drama",N/A
20,Angels and Insects,6.8,"Drama, Romance",N/A
21,Muppet Treasure Island,6.9,"Action, Adventure, Comedy",64
22,Braveheart,8.3,"Biography, Drama, War",68
23,Taxi Driver,8.2,"Crime, Drama",94
24,Rumble in the Bronx,6.8,"Action, Comedy, Crime",61
27,Bad Boys,6.8,"Action, Comedy, Crime",41
28,Apollo 13,7.7,"Adventure, Drama, History",78
29,Batman Forever,5.5,"Action, Adventure",54
30,Belle de jour,7.6,"Drama, Romance",N/A
31,Crimson Tide,7.4,"Action, Drama, Thriller",66
32,Crumb,8.0,"Documentary, Biography, Comedy",93
33,Desperado,7.1,"Action, Crime, Drama",55
35,Free Willy 2: The Adventure Home,5.1,"Adventure, Drama, Family",N/A
36,Mad Love,5.3,"Comedy, Drama, Romance",N/A
37,Nadja,6.0,"Drama, Horror",64
38,"Net, The",5.5,"Documentary, Short",N/A
39,Strange Days,7.2,"Crime, Drama, Sci-Fi",66
40,"To Wong Foo, Thanks for Everything! Julie Newmar",6.8,"Comedy, Drama",60
41,Billy Madison,6.4,Comedy,16
42,Clerks,7.7,Comedy,70
43,Disclosure,6.2,"Drama, Thriller",58
44,Dolores Claiborne,7.4,"Crime, Drama, Mystery",62
45,Eat Drink Man Woman,7.8,"Comedy, Drama, Romance",80
46,Exotica,7.0,Drama,72
47,Ed Wood,7.8,"Biography, Comedy, Drama",71
48,Hoop Dreams,8.3,"Documentary, Drama, Sport",98
49,I.Q.,6.2,"Comedy, Romance",66
50,Star Wars,8.6,"Action, Adventure, Fantasy",90
